Date;Open;High;Low;Close;Volume
10.08.2015;46.95;47.49;45.705;47;126061330
17.08.2015;46.81;47.45;43.07;43.07;181724990
24.08.2015;40.45;44.15;39.72;43.93;301012970
31.08.2015;43.56;43.98;41.66;42.61;186966440
07.09.2015;43.3;44.4;42.745;43.48;123649130
14.09.2015;43.43;45;42.86;43.48;168731860
21.09.2015;43.62;44.73;43.27;43.94;128489880
28.09.2015;43.83;45.57;43.05;45.57;165501320
05.10.2015;45.745;47.54;45.7;47.11;151061600
12.10.2015;46.98;47.54;46.5;47.51;117436270
19.10.2015;47.42;54.07;47.02;52.87;276415700
26.10.2015;52.53;54.37;52.5;52.64;239161480
02.11.2015;52.85;54.98;52.62;54.92;168199080
09.11.2015;54.55;54.87;52.53;52.84;193878310
16.11.2015;53.08;54.66;52.85;54.19;157865530
23.11.2015;54.25;54.46;53.58;53.93;82804592
30.11.2015;54.54;56.23;53.93;55.91;224144940
07.12.2015;55.79;56.1;54.01;54.06;171124580
14.12.2015;54.33;56.79;53.68;54.13;249501820
21.12.2015;54.88;55.96;54.2262;55.67;102366422
28.12.2015;55.35;56.85;54.98;55.48;98452040
04.01.2016;54.32;55.39;52.07;52.33;231984480
11.01.2016;52.51;54.07;50.34;50.99;263078220
18.01.2016;51.48;52.33;49.1;52.29;183788120
25.01.2016;51.94;55.09;51.0201;55.09;244905240
01.02.2016;54.88;55.09;49.56;50.16;265317740
08.02.2016;49.55;50.68;48.19;50.5;226275020
15.02.2016;50.9;52.95;50.13;51.82;137788510
22.02.2016;52.28;53;50.2;51.3;149629000
29.02.2016;51.35;52.97;50.66;52.03;151357550
07.03.2016;51.56;53.07;50.58;53.07;171140390
14.03.2016;52.71;55;52.63;53.49;172585910
21.03.2016;53.25;54.33;52.93;54.21;86116610
28.03.2016;54.21;55.64;53.33;55.57;114661320
04.04.2016;55.43;55.66;54.21;54.42;100622970
11.04.2016;54.49;55.92;53.76;55.65;116426680
18.04.2016;55.49;56.77;50.77;51.78;254470070
25.04.2016;51.78;52.35;49.35;49.87;201440060
02.05.2016;50;50.75;49.46;50.39;133958780
09.05.2016;50.49;51.895;50;51.08;111322560
16.05.2016;50.8;51.96;49.82;50.62;120169970
23.05.2016;50.6;52.49;49.98;52.32;126993780
30.05.2016;52.26;53;51.6;51.79;108502650
06.06.2016;51.99;52.73;51.04;51.48;106199990
13.06.2016;49.58;50.715;49.06;50.13;236272910
20.06.2016;50.64;52.06;49.52;49.83;260891280
27.06.2016;49.1;51.72;48.035;51.16;169650160
04.07.2016;50.83;52.36;50.39;52.3;100920570
11.07.2016;52.5;54;52.47;53.7;131063830
18.07.2016;53.7;56.84;52.93;56.57;237447010
25.07.2016;56.47;57.29;55.72;56.68;152428760
01.08.2016;56.6;58.21;56.14;57.96;138478530
08.08.2016;58.055;58.5;57.62;57.94;91861690
15.08.2016;58.01;58.5;57.2;57.62;89499540
22.08.2016;57.6;58.7;57.26;58.03;90543910
29.08.2016;58.18;58.6;57.01;57.67;99083680
05.09.2016;57.78;57.84;56.21;56.21;88885680
12.09.2016;56;57.63;55.61;57.25;155248220
19.09.2016;57.27;58;56.75;57.43;111653580
26.09.2016;57.08;58.1679;56.681;57.6;125005270
03.10.2016;57.405;57.98;56.97;57.8;92183890
10.10.2016;57.91;58.39;56.315;57.42;119165780
17.10.2016;57.36;60.45;56.66;59.66;194422000
24.10.2016;59.94;61.3699;59.58;59.87;181081070
31.10.2016;60.16;60.42;58.52;58.71;123153750
07.11.2016;59.78;60.78;57.6302;59.02;197867590
14.11.2016;59.02;61.14;57.28;60.35;163723590
21.11.2016;60.5;61.26;60.13;60.53;73101226
28.11.2016;60.34;61.41;58.8;59.25;137594010
05.12.2016;59.7;61.99;59.56;61.97;122864250
12.12.2016;61.82;63.45;61.72;62.3;155708050
19.12.2016;62.56;64.1;62.42;63.24;111995150
26.12.2016;63.21;64.07;62.03;62.14;61916170
02.01.2017;62.79;63.15;62.03;62.84;86746480
09.01.2017;62.76;63.4;61.95;62.7;100852180
16.01.2017;62.68;62.98;62.03;62.74;88835960
23.01.2017;62.7;65.91;62.57;65.78;159679300
30.01.2017;65.69;65.79;62.75;63.68;172645650
06.02.2017;63.5;64.435;63.14;64;98932030
13.02.2017;64.24;65.24;64.02;64.62;104711960
20.02.2017;64.61;64.95;64.05;64.62;81952500
27.02.2017;64.54;64.99;63.62;64.25;108650730
06.03.2017;63.97;65.26;63.81;64.93;96927350
13.03.2017;65.01;65.24;64.15;64.87;128373980
20.03.2017;64.91;65.5;64.12;64.98;103401120
27.03.2017;64.63;66.19;64.35;65.86;88382050
03.04.2017;65.81;66.35;65.19;65.68;86933350
10.04.2017;65.61;65.86;64.85;64.95;71718470
17.04.2017;65.04;66.7;64.89;66.4;113598980
24.04.2017;67.48;69.14;67.1;68.46;159774760
01.05.2017;68.68;69.71;68.485;69;125053920
08.05.2017;68.97;69.56;68.04;68.38;106401900
15.05.2017;68.14;69.44;67.14;67.69;148475770
22.05.2017;67.89;70.22;67.5;69.96;87860310
29.05.2017;69.79;71.86;69.451;71.76;103678890
05.06.2017;71.97;72.89;68.59;70.32;160696030
12.06.2017;69.25;71.1;68.13;70;172743270
19.06.2017;70.5;71.25;69.71;71.21;114173930
26.06.2017;71.4;71.71;68.09;68.93;123518080
03.07.2017;69.33;69.84;68.02;69.46;74348850
10.07.2017;69.46;73.27;69.2;72.78;96260680
17.07.2017;72.8;74.3;72.66;73.79;155964650
24.07.2017;73.53;74.42;72.32;73.04;112840980
31.07.2017;73.3;73.44;71.445;72.68;111571050
07.08.2017;72.8;73.13;71.28;72.5;108253800
14.08.2017;73.06;74.1;71.93;72.49;98611320
21.08.2017;72.47;73.35;71.7;72.82;75678210
28.08.2017;73.06;74.96;72.05;73.94;92280900
04.09.2017;73.34;74.6;72.98;73.98;70931650
11.09.2017;74.31;75.49;74.07;75.31;99852090
18.09.2017;75.23;75.97;73.85;74.41;93133200
25.09.2017;74.09;74.535;72.92;74.49;88758690
02.10.2017;74.71;76.12;73.71;76;75901470
09.10.2017;75.97;77.87;75.86;77.49;73291550
16.10.2017;77.42;78.97;77.25;78.81;79655230
23.10.2017;78.99;86.2;78.01;83.81;160890480
30.10.2017;83.7;84.54;82.88;84.14;122586860
06.11.2017;84.2;84.9;82.9;83.87;96376360
13.11.2017;83.66;84.1;82.24;82.4;95315530
20.11.2017;82.4;83.9;82.25;83.26;65300353
27.11.2017;83.31;85.06;83.175;84.26;129363650
04.12.2017;84.42;84.58;80.7;84.16;137304200
11.12.2017;84.29;87.09;84.12;86.85;140200690
18.12.2017;87.12;87.4999;84.71;85.51;101214180
25.12.2017;85.31;86.05;85.03;85.54;53682900
01.01.2018;86.125;88.41;85.5;88.19;93407570
08.01.2018;88.2;89.78;87.24;89.6;102177160
15.01.2018;90.1;90.79;88.0104;90;121952720
22.01.2018;90;94.06;89.74;94.06;134324570
29.01.2018;95.14;96.07;91.5;91.78;210630760
05.02.2018;90.56;93.24;83.83;88.18;278359580
12.02.2018;88.735;93.5;87.8;92;154906670
19.02.2018;91.475;94.07;91.01;94.06;106897180
26.02.2018;94.4;95.84;90.86;93.05;155817210
05.03.2018;92.34;96.54;92.26;96.54;136002270
12.03.2018;96.5;97.24;92.83;94.6;169193540
19.03.2018;93.74;94.05;87.08;87.18;161105360
26.03.2018;90.61;95.139;88.4;91.27;209352710
02.04.2018;90.47;93.065;87.51;90.23;188637860
09.04.2018;91.04;94.18;90.62;93.08;133260550
16.04.2018;94.07;97.07;93.42;95;121678620
23.04.2018;95.744;97.9;90.28;95.82;179484750
30.04.2018;96.33;96.3964;92.45;95.16;153370720
07.05.2018;95.17;97.95;95.05;97.7;112735800
14.05.2018;97.92;98.69;95.83;96.36;96115570
21.05.2018;97;98.98;96.32;98.36;100135350
28.05.2018;97.84;100.86;97.23;100.79;113028430
04.06.2018;101.26;102.69;100.38;101.63;122071420
11.06.2018;101.37;102.03;100.07;100.13;160613200
18.06.2018;100.01;102.52;99.42;100.41;137253060
25.06.2018;100;100.11;97.26;98.61;147452380
02.07.2018;98.1;101.43;98;101.16;70342630
09.07.2018;101.645;105.6;101.1;105.43;103719550
16.07.2018;105.4;108.2;103.89;106.27;169895740
23.07.2018;106.3;111.15;106.13;107.68;154371360
30.07.2018;107.19;108.09;104.76;108.04;130004820
06.08.2018;108.12;110.16;107.559;109;83572030
13.08.2018;109.24;109.75;106.69;107.58;103935750
20.08.2018;107.51;108.56;105.78;108.4;93216650
27.08.2018;109.27;112.777;108.51;112.33;105308690
03.09.2018;110.85;111.955;107.23;108.21;100896650
10.09.2018;108.84;113.73;108.36;113.37;106193040
17.09.2018;113.69;115.29;111.035;114.26;158140910
24.09.2018;113.03;115.1;112.2175;114.37;104957690
01.10.2018;114.75;116.18;110.64;112.13;118458920
08.10.2018;111.66;113.08;104.2;109.57;226574190
15.10.2018;108.91;111.81;106.9468;108.66;153575190
22.10.2018;109.32;110.54;101.5901;106.96;250284080
29.10.2018;108.105;108.7;100.11;106.16;242251880
05.11.2018;106.37;112.24;105.9;109.57;147481800
12.11.2018;109.42;109.96;103.91;108.29;180333680
19.11.2018;108.27;108.56;99.3528;103.07;149258220
26.11.2018;104.79;111.33;104.58;110.89;168898790
03.12.2018;113;113.42;104.3;104.82;43592320
This document was made with Webix library. http://webix.com;;;;;
